detail_link,Tiêu đề,Địa chỉ,Hướng nhà,Hướng ban công,Diện tích (m2),Mức giá,Số phòng ngủ (phòng),Số phòng tắm (phòng),Mặt tiền (m),Đường vào (m),Pháp lý,Nội thất,Nội thất đầy đủ,Số tầng (tầng),Nội thất cơ bản,Nội thất trống,Mức giá (VNĐ),Quận/Huyện
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-huy-tuong-phuong-thanh-xuan-trung-prj-imperia-garden/bang-hang-cac-loai-dien-tich-66m2-6-ty-147m2-13-ty-2-3-4-ngu-pr43122888,"Bảng hàng Imperia garden, Thanh Xuân , các loại diện tích 66m2 (6 tỷ) - 147m2 (13 tỷ), 2-3-4 ngủ","Imperia Garden, Nguyễn Huy Tưởng, Thanh Xuân Trung, Thanh Xuân, Hà Nội",Tây - Bắc,Đông - Nam,104.0,"{'value': 9000000000.0, 'unit': 'VNĐ'}",3.0,2.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,9000000000.0,Thanh Xuân
https://batdongsan.com.vn/ban-nha-rieng-duong-nguyen-khanh-toan-phuong-quan-hoa/chi-9-2-ty-ban-gap-dt-41m2-x-6-tang-thang-may-xay-moi-hien-dai-so-no-hau-pr43126881,"Chỉ 9.2 tỷ - bán gấp Nguyễn Khánh Toàn, DT 41.6m2 x 6 tầng thang máy, xây mới hiện đại, sổ nở hậu","Đường Nguyễn Khánh Toàn, Phường Quan Hoa, Cầu Giấy, Hà Nội",,,41.6,"{'value': 9200000000.0, 'unit': 'VNĐ'}",3.0,5.0,,,Sổ đỏ/ Sổ hồng,,,6.0,,,9200000000.0,Cầu Giấy
https://batdongsan.com.vn/ban-nha-rieng-pho-kham-thien-phuong-tho-quan/chu-can-ban-gap-dong-da-46m2-3-tang-nhinh-6ty-cong-nang-day-du-gan-dep-o-luon-pr43122956,"Chủ cần bán gấp, quận Đống Đa, 46m2, 3 tầng, nhỉnh 6tỷ, công năng đầy đủ, gần phố, nhà đẹp ở luôn","Phố Khâm Thiên, Phường Thổ Quan, Đống Đa, Hà Nội",,,46.0,"{'value': 6650000000.0, 'unit': 'VNĐ'}",3.0,2.0,3.3,2.0,Sổ đỏ/ Sổ hồng,Đầy đủ,True,3.0,,,6650000000.0,Đống Đa
https://batdongsan.com.vn/ban-dat-phuong-duong-noi/chinh-chu-gui-em-hai-ban-hon-20-lo-dau-gia-dich-vu-phan-lo-gia-tu-9-ty-tro-len-pr43122990,"Chính Chủ gửi Em Hải bán hơn 20 lô đất đấu giá, dịch vụ phân lô Dương Nội giá từ 9 tỷ trở lên","Phường Dương Nội, Hà Đông, Hà Nội",,,50.0,"{'value': 9000000000.0, 'unit': 'VNĐ'}",,,4.0,10.0,Sổ đỏ/ Sổ hồng,,,,,,9000000000.0,Hà Đông
https://batdongsan.com.vn/ban-dat-duong-427-xa-chuong-duong-1/-ngay-tai-trung-tam-hanh-chinh-thuong-tin-96-m2-pr42854796,"ĐẤT NGAY TẠI TRUNG TÂM HÀNH CHÍNH XÃ CHƯƠNG DƯƠNG THƯỜNG TÍN, 96 m2","Đường 427, Xã Chương Dương, Thường Tín, Hà Nội",,,96.0,"{'value': 3350000000.0, 'unit': 'VNĐ'}",,,5.0,4.0,Sổ đỏ/ Sổ hồng,,,,,,3350000000.0,Thường Tín
https://batdongsan.com.vn/ban-nha-rieng-pho-nguyen-phuc-lai-phuong-o-cho-dua/ban-dng-da-cach-t-10m-kinh-danh-ng-thng-46m-4-tang-mt-4m-pr43122788,"Bán nhà riêng Nguyễn Phúc Lai, Đống Đa. Cách ô tô 10m, kinh doanh, ngõ thông. 46m2, 4 tầng, MT 4m","Phố Nguyễn Phúc Lai, Phường Ô Chợ Dừa, Đống Đa, Hà Nội",,,46.0,"{'value': 12500000000.0, 'unit': 'VNĐ'}",4.0,4.0,4.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,4.0,,,12500000000.0,Đống Đa
https://batdongsan.com.vn/ban-dat-duong-an-duong-vuong-phuong-phu-thuong-1/ban-tay-ho-75m-7-5-ty-cach-mat-30m-pr42411615,"Bán đất Phú Thượng - Tây Hồ 75m2, 8,5 tỷ, hai thoáng","Đường An Dương Vương, Phường Phú Thượng, Tây Hồ, Hà Nội",,,75.0,"{'value': 8500000000.0, 'unit': 'VNĐ'}",,,,3.0,Sổ đỏ/ Sổ hồng,,,,,,8500000000.0,Tây Hồ
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-nguyen-duy-trinh-phuong-hoang-liet-prj-vp5-linh-dam/ban-cc-2pn-2wc-view-dep-tai-3-64-ty-62m2-so-do-chinh-chu-pr43028653,"Cần bán căn 2PN 2VS Sổ đỏ chính chủ, toà VP5 Linh Đàm, BC view đẹp, nhà đẹp sẵn ở, hỗ trợ bank NH","Dự án VP5 Linh Đàm, Đường Nguyễn Duy Trinh, Phường Hoàng Liệt, Hoàng Mai, Hà Nội",,,62.0,"{'value': 3600000000.0, 'unit': 'VNĐ'}",2.0,2.0,,,Sổ đỏ/ Sổ hồng,Cơ bản,,,True,,3600000000.0,Hoàng Mai
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-le-van-luong-phuong-nhan-chinh-prj-the-diamond-residence/-ban-tai-brg-25-re-nhat-thi-truong-pr43122687,Cần bán căn hộ tại BRG 25 Lê Văn Lương 120m2 12 tỷ,"The Diamond Residence, Lê Văn Lương, Nhân Chính, Thanh Xuân, Hà Nội",Đông - Bắc,Tây - Nam,120.0,"{'value': 12000000000.0, 'unit': 'VNĐ'}",3.0,2.0,,,,,,,,,12000000000.0,Thanh Xuân
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-to-huu-phuong-la-khe-prj-the-pride/gia-dinh-em-ban-gap-2522-tai-gia-6-ty-140m-tang-25-truc-22-lh-pr43122855,"Gia đình em bán gấp căn 2522 tại The Pride. Giá 6 tỷ, 140m, tầng 25 trục 22. LH 0968 501 ***","The Pride, Tố Hữu, La Khê, Hà Đông, Hà Nội",,,140.0,"{'value': 6000000000.0, 'unit': 'VNĐ'}",3.0,3.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,6000000000.0,Hà Đông
https://batdongsan.com.vn/ban-nha-rieng-pho-bach-mai-phuong-thanh-nhan/ban-62m2-4-tang-thang-may-dan-xay-kien-co-con-rat-moi-gia-9-9-ty-pr43104492,"Bán nhà phố Bạch Mai 62m2, 4 tầng thang máy, nhà dân xây kiên cố còn rất mới, giá 9,9 tỷ","Phố Bạch Mai, Phường Thanh Nhàn, Hai Bà Trưng, Hà Nội",,,62.0,"{'value': 9900000000.0, 'unit': 'VNĐ'}",7.0,7.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,4.0,,,9900000000.0,Hai Bà Trưng
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-me-tri-phuong-me-tri-prj-golden-palace/em-chuyen-nhuong-quy-place-gia-tot-voi-cac-dt-85m2-den-128m2-162m2-gia-tu-70t-pr43050533,"Em chuyển nhượng quỹ căn Golden Place Mễ Trì giá tốt với các DT 85m2 đến 128m2, 162m2, giá từ 70tr","Dự án Golden Palace, đường Mễ Trì, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Đông - Nam,Tây - Bắc,162.0,"{'value': 11000000000.0, 'unit': 'VNĐ'}",4.0,3.0,,,Sổ đỏ/ Sổ hồng,Full nội thất,,,,,11000000000.0,Nam Từ Liêm
https://batdongsan.com.vn/ban-nha-rieng-phuong-kham-thien/ban-dong-da-dt-46m2-3t-mt-3-3m-full-noi-that-dep-o-ngay-pr43103727,Bán nhà Khâm Thiên - Đống Đa. DT 46m2 - 3T - MT 3.3m Full nội thất - Nhà đẹp ở ngay,"Phường Khâm Thiên, Đống Đa, Hà Nội",,,46.0,"{'value': 6650000000.0, 'unit': 'VNĐ'}",3.0,2.0,3.3,,Sổ đỏ/ Sổ hồng,Full nội thất,,3.0,,,6650000000.0,Đống Đa
https://batdongsan.com.vn/ban-nha-rieng-duong-phu-thuong-phuong-phu-thuong-1/ban-tay-ho-33m-5-tang-mt-4m-6-25-ty-cach-mat-pho-35m-pr43122472,"Bán nhà Tây Hồ 33m 5 tầng Mt 4m 6,25 tỷ cách mặt phố 35m","Đường Phú Thượng, Phường Phú Thượng, Tây Hồ, Hà Nội",,,33.0,"{'value': 6200000000.0, 'unit': 'VNĐ'}",3.0,5.0,4.0,3.0,Sổ đỏ/ Sổ hồng,,,5.0,,,6200000000.0,Tây Hồ
https://batdongsan.com.vn/ban-nha-rieng-duong-xuan-la-phuong-xuan-la/-tay-ho-gan-ho-tay-vai-buoc-chan-ra-vo-chi-cong-chu-tang-full-noi-that-pr43122404,"Xuân La, Tây Hồ - gần Hồ Tây - vài bước chân ra Võ Chí Công - chủ tặng full nội thất","Đường Xuân La, Phường Xuân La, Tây Hồ, Hà Nội",,,34.0,"{'value': 7950000000.0, 'unit': 'VNĐ'}",,,4.2,,Sổ đỏ/ Sổ hồng,Full nội thất,,5.0,,,7950000000.0,Tây Hồ
https://batdongsan.com.vn/ban-nha-rieng-duong-doi-can-phuong-cong-vi/-ba-dinh-45m2-5-tang-mat-ngo-kinh-doanh-o-to-tranh-o-cho-thang-may-pr43061874,"Nhà Ba Đình 45m2, 5 tầng, mặt ngõ kinh doanh, ô tô tránh, ô chờ thang máy","Đường Đội Cấn, Phường Cống Vị, Ba Đình, Hà Nội",,,45.0,"{'value': 12500000000.0, 'unit': 'VNĐ'}",6.0,4.0,4.0,6.0,Sổ đỏ/ Sổ hồng,Đầy đủ,True,5.0,,,12500000000.0,Ba Đình
https://batdongsan.com.vn/ban-nha-rieng-phuong-yen-hoa-2/sieu-pham-cau-giay-5t-xay-moi-dt-30m-mt4m-tien-ich-bat-ngan-tang-full-noi-that-pr43122498,Siêu phẩm Yên Hoà - Cầu Giấy. Nhà 5T xây mới - DT 30m - MT4m - Tiện ích bạt ngàn tặng full nội thất,"Phường Yên Hòa, Cầu Giấy, Hà Nội",,,30.0,"{'value': 7980000000.0, 'unit': 'VNĐ'}",3.0,4.0,4.0,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,5.0,,,7980000000.0,Cầu Giấy
https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-thi-tran-thuong-tin-prj-minh-an-green-park/b-80m2-tai-ong-gia-13-ty-n-8-2025-pr43122495,"Bán biệt thự 80m2 tại Minh An Green Park, Thường Tín, giá 13 tỷ. Nhận nhà 8/2025","Dự án Minh An Green Park, Thị trấn Thường Tín, Thường Tín, Hà Nội",Đông,Bắc,80.0,"{'value': 13000000000.0, 'unit': 'VNĐ'}",6.0,5.0,5.0,13.0,Sổ đỏ/ Sổ hồng,Không nội thất,,5.0,,True,13000000000.0,Thường Tín
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/quy-studio-1-4-pn-chinh-chu-view-dep-gia-re-phap-ly-ro-rang-ht-vay-80-pr43122966,"QUỸ CĂN STUDIO 1 - 4 PN VINHOMES GREEN BAY CHÍNH CHỦ VIEW ĐẸP GIÁ RẺ, PHÁP LÝ RÕ RÀNG, HT VAY 80%","Vinhomes Green Bay Mễ Trì, Đại lộ Thăng Long, Mễ Trì, Nam Từ Liêm, Hà Nội",,Đông - Nam,54.0,"{'value': 3900000000.0, 'unit': 'VNĐ'}",2.0,1.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,3900000000.0,Nam Từ Liêm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/chinh-chu-ban-cat-2pn-1vs-toa-g3-tai-vinmes-greenbay-pr41526862,"Chính chủ cần bán cắt lỗ căn 2PN - 2VS - 55.3m2, 3 tỷ 550 căn hộ tòa G3 tại Vinhomes Green Bay","Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Đông - Bắc,Tây - Nam,55.3,"{'value': 3550000000.0, 'unit': 'VNĐ'}",2.0,2.0,,,Hợp đồng mua bán,Nội thất hoàn thiện chủ đầu tư,,,,,3550000000.0,Nam Từ Liêm
https://batdongsan.com.vn/ban-can-ho-chung-cu-duong-dai-lo-thang-long-phuong-me-tri-prj-vinhomes-green-bay-me-tri/chinh-chu-gui-ban-3n-2vs-tai-vins-tri-pr41528594,"Chính chủ gửi bán căn hộ 3N 2VS - 92.8m2, 6.5 tỷ, tòa G2 Vinhomes Green Bay Mễ Trì","Dự án Vinhomes Green Bay Mễ Trì, Đường Đại lộ Thăng Long, Phường Mễ Trì, Nam Từ Liêm, Hà Nội",Đông - Bắc,Tây - Nam,92.81,"{'value': 6500000000.0, 'unit': 'VNĐ'}",3.0,2.0,,,Sổ đỏ/ Sổ hồng,Đầy đủ,True,,,,6500000000.0,Nam Từ Liêm
